dimension,option,what_it_changes_in_the_model,phase_a_mechanism_addressed,prior_art_source_ids,already_implemented_by,regulatory_gate_ids,notes
contracting mechanism,capacity subscription (periodic fee for reserved capacity),"reservation fee only when reserved_site_owned=0 (R004); no capital, fixed operations or validation on Telo's ledger",contract insufficiency; insufficient surge headroom,"F10-S24, F10-S19, F10-S26, F3-S28",DLA Warstopper; NHS England delinked subscription; nothing in US generic sterile capacity,none,no US purchaser has been found paying a standing reservation fee for sterile shortage-generic capacity
contracting mechanism,capacity option (reservation fee plus execution fee),the same two-part structure with an explicit strike; activation_threshold_days sets when it is exercised,insufficient surge headroom; contract insufficiency,"F10-S32, F10-S31, F7-S04, F3-S3",EU FAB; BARDA CIADM ($542.75M Emergent reservation); commercial clauses at Lonza and WuXi,none,"every disclosed reservation fee in the SEC exhibits is redacted, so the price of this instrument is unknown"
contracting mechanism,government advance purchase,a committed buyer at a stated quantity; removes demand risk and with it the utilization problem,contract insufficiency; low utilization,"F10-S29, F10-S41",Project BioShield under 42 U.S.C. 247d-6b(c)(7),none,implemented for medical countermeasures only; no federal advance purchase for a routine generic sterile injectable was found
contracting mechanism,availability payment untied to units,"would need a readiness price; the engine has no revenue side, so this is arithmetic outside the simulation",contract insufficiency,"F10-S21, F10-S19",FHWA P3 concessions; NHS England for patented antimicrobials,none,no availability-payment contract for a multi-source generic injectable was found anywhere
contracting mechanism,outcome-based reliability agreement,payment contingent on a measured availability outcome; needs a rating layer and a measurement the model does not produce,contract insufficiency,"F10-S11, F10-S10, F10-S35, F10-S45",proposed only: Senate Finance draft Manufacturer Reliability Agreements; HHS MRAP and HRSP concepts,none,"HIRC, ISPE and USP are named as candidate rating layers; none is contractually operative"
contracting mechanism,stockpile or vendor-managed rotating inventory,a third party holds and rotates stock; representable as regional inventory with a different owner,inventory timing; insufficient surge headroom,"F10-S24, F8-S03, F8-S12, F8-S33",DLA Warstopper VMI and Corporate Exigency Contracts; SNS VMI; Premier ProvideGx,G06,who bears the carrying cost is the single most important open question for anyone modelling who pays for resilience
inventory strategy,site finished-goods buffer only,site_fg_days; the strongest single relaxation found in the design-space run was site_fg_days 60 to 180,inventory timing; insufficient surge headroom,"F8-S10, F4-S12",standard practice at every manufacturer,G06,site_fg_days is absent from the search space of six of the eight frozen strategies (MD-12)
inventory strategy,regional safety stock on the frozen reorder-point rule,reorder_days = lane_days + 1.0 against target_days = safety + lane; decisive in 8 of 16 cells,inventory timing,"F8-S11, F8-S32",regional distribution centres across the industry,G06,this rule is a model artifact (MD-3) that the protocol never specifies and the optimizer never searched
inventory strategy,regional base stock with daily review,region_base_stock=1 reviews daily and orders up to target; the opt-in alternative to the frozen rule,inventory timing,"F8-S10, F8-S32, F8-S33",standard base-stock practice; Germany and Finland mandate stock levels rather than a review rule,G06,bounds:ss365+base_stock reaches 13 of 16 feasible where bounds:ss365 alone reaches 0; verify before believing
inventory strategy,upstream API and component reserve,material_target_days and material_reorder_days; the reorder point now covers at least one batch's draw (R005),component and material availability; supplier concentration,"F8-S12, F8-S33, F8-S06, F9-S18",Premier ProvideGx (3 to 6 months of API and finished dose); Finland's Act 979/2008; Phlow SAPIR,G06,"MD-1 is unfixed: the order-up-to level still scales with the lead time, so a shorter lead cuts the buffer"
inventory strategy,bulk or unlabeled intermediate held as the buffer,not representable; there is no intermediate inventory stage and no hold-time expiry,demand variance; demand covariance; inventory timing,"F5-S10, F5-S13, F5-S16, F5-S28, F5-S31","BARDA National Pre-Pandemic Influenza Vaccine Stockpile since 2005 (antigen, not aqueous small molecule)","G04, G06",EMA expects refiltration if sterile-filtered bulk is not filled within 24 hours; a validated multi-day hold has no precedent
inventory strategy,shared national reserve with allocation rights,would need a reserve entity and an allocation rule beyond the four in allocation_policy,insufficient surge headroom; inventory timing,"F8-S01, F8-S03, F8-S08, F8-S33",nobody links a national reserve to several regional manufacturing sites; SAPIR proposes the nearest analogue,G06,the Strategic API Reserve is a line item in one BARDA contract plus bills unenacted across four Congresses
inventory strategy,rotating hospital inventory funded by the CMS buffer payment,"the stock sits with the buyer; Telo would see a smoother order stream, not a service change",inventory timing,"LSD-S3, F8-S17, F8-S44, F8-S32","CMS pays eligible hospitals for a six-month buffer, explicitly permitting an intermediary to hold it",G06,eligibility is limited to hospitals of 100 beds or fewer outside a chain; reimbursement is not manufacturing cost
supplier architecture,single API and single vial/stopper supplier,the status quo; supplier_disruption_days.mean is identical across all eight frozen strategies of each product,none; it is the exposure being measured,"F9-S9, F9-S10",the default for most US generic injectables,none,supplier concentration is statistically resolved in 11 of 16 cells and flips three
supplier architecture,second API source qualified and existing at t0,second_source_exists_at_t0=1 with independent_api_supplier=1; without the second flag the source shares the API group,supplier concentration; common-cause failures,"F9-S17, F9-S20, F9-S31, F13-S05",standard dual sourcing; Phlow; API Innovation Center; EU procurement incentives,"G02, G07",dual sourcing is the only frozen strategy that clears at fill >= 0.98 in the pre-R004 runs
supplier architecture,second source qualified on demand,"second_source_qualification_days (365 d, tier 5, range 365 to 1095) before the source is usable",supplier concentration (late),"F9-S37, F9-S13, F3-S46, F3-S47","the instrument exists (21 CFR 314.70(e), ICH Q12 PACMP); FDA publishes no approved protocols","G02, G07","the FDA carve-out caps the gain at CBE-30, so the asset is worth about 30 days plus predictability"
supplier architecture,standardized ISO container-closure across products,"would reduce component variety and qualification cost; not representable, components are per-product",component and material availability; replicated validation cost,"F5-S36, F5-S37, F5-S38, F9-S21",ISO 8362-1; SCHOTT adaptiQ and Stevanato EZ-fill nested tubs,G06,every application still qualifies its own container-closure system; a shared package usable by several holders has no precedent
supplier architecture,an internal hub acting as the bulk supplier,extra_suppliers with lead_time_days or lead_time_factor and its own common-cause groups,fixed quality cost; replicated validation cost,"F4-S2, Lreg-S13, F5-S16",Pfizer/BioNTech at biologics scale,"G03, G04, G06",the hub has no capacity limit and no hold-time expiry in the engine; both are missing constraints
supplier architecture,supplier-risk graph subscribed rather than owned,no model effect; it is an information product,none,"F9-S5, F9-S6, F9-S7, F9-S22, LSD-S11",USP Medicine Supply Map with the KSM module; Resilinc; Vizient market resiliency score,none,already implemented and patented in the adjacent shortage-scoring space
supplier architecture,strategic raw-material reserve held by Telo,material_target_days raised well above the lead time; MD-1 makes this interact with the lead-time factor in an unintended way,component and material availability; supplier concentration,"F8-S06, F9-S18, F8-S07, F8-S08",Phlow SAPIR CLIN 0004; Finland's substance reserve,G06,"the US Strategic API Reserve is proposed, not funded as standing policy"
product portfolio,one presentation per network,the engine limit today (MD-15); 94.5% of norepinephrine S5 cost is borne by one presentation at 0.203 utilization (pre-R004 run),none; it is the source of the low-utilization mode,"F6-S26, F6-S27",no real sterile plant runs one presentation,none,the largest unquantified distortion in the cost comparison
product portfolio,two to four comparable aqueous presentations,portfolio_capacity_share and portfolio_fixed_cost_share attribute a share of capacity and fixed cost to this product,low utilization; fixed quality cost; replicated validation cost,"F6-S30, F6-S20, LCDM-S3",small multi-product sterile sites and CDMO suites,"G03, G04","the shares are an accounting proxy; changeover, cleaning validation and campaign sequencing are absent"
product portfolio,about five or more comparable presentations (the pooling threshold),"the decomposition names roughly five comparable presentations per node as the explicit, testable pooling threshold",low utilization; fixed quality cost; replicated validation cost,"F6-S26, F6-S27, F6-S28, F6-S30",Fresenius Melrose Park (250 products); Hikma (180+ injectables); Gland (28 lines),"G03, G04","no source gives a minimum economic campaign size for generic sterile fill-finish; the threshold is a model output, not evidence"
product portfolio,broad multi-family portfolio with segregation,"would need family constraints, dedicated areas and HBEL carryover limits the engine does not model",low utilization (favourably); fixed quality cost,"F6-S01, F6-S10, F6-S05, F6-S07, F6-S08",large generic injectable plants across the industry,"G03, G04","21 CFR 211.42(d) and the beta-lactam guidance make some combinations facility-separating, not scheduling problems"
product portfolio,shortage-risk-weighted selected portfolio,a selection layer on top of the portfolio shares; the matching model is not built,capacity shortfall (by choosing where it binds); regulatory unavailability,"F6-S30, F6-S20, F6-S39, F12-S13, F12-S24",Civica selects informally via member pharmacists; USP and Premier score shortage risk,none,nobody optimises a node's portfolio subject to changeover and family constraints; that is the open combination
product portfolio,capacity shared with another owner's portfolio,portfolio_capacity_share below 1 with the remainder outside Telo's control; contractually a tenancy,low utilization; fixed quality cost,"LCDM-S3, LCDM-S14, F6-S26",every merchant CDMO suite,"G02, G07",shared capacity is not reserved capacity; the co-tenant's schedule is a new failure mode the engine cannot see
sequencing of phases,"manufacture first, software later",the frozen S5/S6 shape; capital and commissioning arrive before any revenue,capacity shortfall; commissioning delay (incurred),"F1-S37, F1-S39, F3-S25",Civica (after reversing from the asset-light form),"G01, G02, G03",commissioning costs 19.99% of the measured five-year window at the base commissioning time (pre-R004 run)
sequencing of phases,"software first, manufacture later",no service mechanism moves during the software phase; the model cannot show progress on any binding mode,none binding,"F2-S01, F2-S14, LPMS-S05, LQBR-S04","Korber, Veeva, MasterControl, Leucine, Tulip all occupy this space",none,the prior-art verdict is that the manufacturing OS does not survive in any of its eight sub-forms
sequencing of phases,"virtual capacity network first, own asset only if it fails",cdmo_reserved plans with zero commissioning; an owned site is added later only if activation fails,commissioning delay; capacity shortfall; contract insufficiency,"F3-S23, F3-S25, F3-S29, F3-S11",Civica 2018-2023; BARDA FFMN; EU FAB,"G01, G02, G07",the documented reversal is the warning: the asset-light form did not hold
sequencing of phases,laboratory or testing service first,fixed quality cost moves off customers' ledgers; no service mechanism changes,fixed quality cost,"F4-S11, F4-S14, F4-S24, Lreg-S5",contract labs; Creative Testing Solutions,G05,bounded by the large 503B operators already running rapid sterility on site
sequencing of phases,"503B responder first, durable pathway later",pathway 503b with durable=false; eligibility is a time-varying state that the shortage listing turns off,capacity shortfall (short term); regulatory unavailability (incurred),"F1-S16, L503B-S02, L503B-S03, L503B-S07, L503B-S04","97 registered outsourcing facilities; QuVa, SCA, Fagron, Leiters, STAQ","G08, G09, G10, G11, G12",the only two feasible S7 cells in the run come from the forbidden permanent-listing world; never a durable core
sequencing of phases,product-selection and route-screening analysis first,"produces the inputs the engine most needs (route, release vector, true utilization) before any asset decision",capacity shortfall; sterility-related delay (by selecting the archetype),"F12-S13, F12-S15, F12-S20, F12-S21, F11-S44",shortage-risk scoring is implemented and patented; release-component decomposition is not,none,"an analysis method, not a company; its commercial value is as an input to route conversion"
sequencing of phases,process-route conversion programme first,"would need a route attribute per presentation, a reformulation lead time and a parametric-release scenario distinct from R3",sterility-related delay (removed); release queue,"F11-S32, F11-S31, F11-S02, F11-S46, F11-S44",the mechanism since 1985; Sun Pharma holds an autoclavable norepinephrine patent; nobody sells conversion as a service,G04,the only intervention in fourteen families that removes the binding release constraint; per-product work with no platform effect
sterilization and release route,terminal moist heat with parametric release,release components collapse to the cycle record; no 14 d sterility hold,sterility-related delay (removed),"F11-S02, F11-S03, F11-S25",FDA-approved applicants since 1985 under CPG 490.200; USP <1222>,G04,portability across a second site or autoclave is unresolved (prior-art review section 7 item 1)
sterilization and release route,terminal moist heat with a conventional sterility test,keeps the 14 d component but removes the aseptic-processing risk profile,deviation and rejection; none binding,"F11-S01, F11-S15, F11-S04, F11-S06",the regulatory default everywhere; FDA 2004 section III; Annex 1 section 8.34,G04,terminal sterilization is preferred by regulators; the question is which products tolerate it
sterilization and release route,aseptic filtration with the USP <71> sterility test,the frozen configuration: 14 d sterility as the argmax plus about 2 d serial QA,none; release is not binding in Phase A,"F11-S01, F11-S41, F11-S04",most currently marketed US sterile injectables,"G04, G05","the 14 d figure is corroborated by three commercial sources and a roundtable, not by a fetched copy of USP <71>"
sterilization and release route,aseptic filtration with a validated rapid microbiological method,a labelled validated-rapid-micro scenario; sterility falls toward about 5 d and environmental monitoring becomes the pole,sterility-related delay,"F11-S28, F11-S34, F11-S35, F11-S36",Novartis acceptances 2008-2010; ScanRDI at QuVa and SCA,"G04, G05, G11",FDA publishes no list of products released on a rapid method; bioMerieux says approved applications exist and are confidential
sterilization and release route,radiation or dosimetric release,a different route attribute entirely; not modelled,sterility-related delay (in the EU),"F11-S05, F11-S25, F11-S40",EU Annex 17 section 4.3; ISO 11137 in devices,G04,no US drug approval letter granting it was found; CPG 490.200 excludes radiation from the US parametric route
sterilization and release route,blow-fill-seal with terminal sterilization,a container and process change that also changes the component set,sterility-related delay; component and material availability,"F4-S16, F11-S04",Nephron's BFS campus,"G04, G06",Annex 1 section 8.22 requires 100% integrity testing of fusion-sealed containers
sterilization and release route,503B at-risk beyond-use dating schedule,"release before a sterility result at the cost of dating: 6 d aseptic, 14 d, 28 d with a completed passing test",sterility-related delay (inside the 503B pathway only),"F11-S45, F5-S20, L503B-S07",503B outsourcing facilities operating under the 2018 guidance,"G08, G11","the at-risk table applies only to batches of 1,000 units or fewer; the 90-day assured BUD in the repository is a company claim, not an FDA value"
sterilization and release route,route conversion (aseptic to terminal) as a programme,a reformulation and container-qualification lead time before the route attribute flips,sterility-related delay (removed at the end of the programme),"F11-S32, F11-S31, F11-S44, F11-S46",nobody offers it as a service; the chemistry exists for one candidate,"G03, G04, G06","falsified by any ANDA holder, CDMO or consultancy offering route conversion, or a published route mapping of the shortage list"
capacity readiness state,owned and operating,"exists_at_t0=true, reserved=false; full capital, fixed operations and validation on the ledger",capacity shortfall,"F1-S37, F6-S26, LSIM-S12",every incumbent plant,"G01, G02, G03",fixed site operations accrue only while a site exists since R004
capacity readiness state,"owned warm standby, exercised on a cadence",reserved=true with reserved_site_owned=1 and exercise_batches_per_year; the line stays validated by running real batches,insufficient surge headroom; contract insufficiency,"F7-S03, F7-S11, F7-S20, F7-S12, F7-S13",HHS warm-base awards to Sanofi Pasteur ($77.4M) and MedImmune ($55.1M); the CIADM warm-base line item,"G02, G03",the prior-art verdict rejects warm standby as an owned asset; keeping it requires an argument against that evidence
capacity readiness state,owned and idle (cold standby),"reserved=true, exercise_batches_per_year=0; activation_failure_probability should be set high, not zero",insufficient surge headroom (claimed); none demonstrated,"F7-S01, F7-S02, F7-S19, F7-S24",BARDA CIADM 2012-2021; UK VMIC; DoD ammunition layaway,"G02, G03",documented to fail: no idle emergency sterile line was found that activated on schedule and met its contracted output
capacity readiness state,"third-party reserved for a fee, not owned",reserved_site_owned=0 since R004: only the reservation fee and the cost of batches actually run,insufficient surge headroom; contract insufficiency; commissioning delay,"F3-S3, F3-S9, F7-S04, F7-S08, F10-S24",EU FAB; BARDA CIADM; DLA Warstopper; commercial CDMO clauses,"G02, G07",S3's annual cost falls about 40% under the R004 fix; every pre-2026-09-03 S3 number is superseded
capacity readiness state,prequalified but unreserved (technical-transfer package maintained),would need a qualification state per partner site that the engine does not carry; today a site is either usable or not,commissioning delay; supplier concentration,"F7-S02, F7-S22, F9-S32, F9-S37",BARDA FFMN (facilities were to become alternate locations on manufacturers' licences); CEPI VMFN,"G02, G07, G14",whether any FFMN facility was ever added to a licence is unresolved; no GAO or HHS retrospective exists
capacity readiness state,campaign rotation across several prequalified sites,would need multi-site scheduling with a validation-cadence constraint; not representable,insufficient surge headroom; commissioning delay; common-cause failures,"F7-S02, F7-S13",only the single-site version is documented (BARDA: one annual lot per product per site),"G02, G03, G14","requires allocation rights over several independent owners' calendars, the same missing vehicle as multi-owner coordination"
capacity readiness state,equipment modules held ready for install,a capital cost with no capacity until installed; needs an install lead time the engine does not have,commissioning delay (partially),"F7-S06, F7-S29",closest confirmed analogue is DLA prepositioning long-lead ventilator components,"G02, G03",no programme was found storing qualified aseptic filling modules ready to install
capacity readiness state,registered address with no qualified capacity,not capacity at all; it is an option on future capacity,none,"L503B-S01, L503B-S08, L503B-S21","41 of 97 registered 503B addresses never inspected, 15 of those registered over two years",G08,"Leiters bought a 110,000 sq ft plant in Feb 2022 that was still not inspected 4.2 years later"
