req_id,source_ref,requirement,category,existing_implementation,gap,planned_module,verification_test,evidence_dependency,status,human_required
R111,design-space assignment Phase B family 4,Hub-and-spoke as hub-as-supplier: a declared supplier (e.g. hub_bulk) with its own lead time and common-cause group feeds a spoke's API/bulk component; supplier disruptions on the hub propagate to spoke material stockouts,design_space,"StrategyDesign.extra_suppliers; strategies.build_strategy supplier block; universal_roster_ids(n, designs)","bulk hold time, transport, and bulk release are collapsed into the supplier lead time",strategies.py,tests/integration/test_design_space_engine.py::test_hub_bulk_supplier_feeds_the_spoke; ::test_roster_appends_declared_entities_after_frozen_ones,bulk hold-time and transport evidence (family 4 prior art),partial,no
R112,design-space assignment Phase B family 6,"Multi-product portfolio node approximation: portfolio_capacity_share scales scheduling capacity and portfolio_fixed_cost_share scales fixed, capital, and validation cost attributed to this product",design_space,SitePlanSpec.portfolio_capacity_share/portfolio_fixed_cost_share; strategies.build_strategy sizing block,"changeover, cleaning validation, and correlated cross-product demand are not represented; single-product engine",strategies.py,tests/integration/test_design_space_engine.py::test_portfolio_shares_scale_capacity_and_fixed_cost,portfolio composition and changeover evidence (HA-21),partial,no
R113,design-space assignment Phase D,Unmapped-gate guard: a strategy that no regulatory gate names is NO_CONCLUSION (gates_mapped=False) even if every gate is PASS; design-space strategies cannot read as eligible by omission,regulatory,regulatory.evaluate_strategy gates_mapped,gate applicability for S8+ not yet mapped in config/regulatory_gates.yaml (needs a revisions.csv row),regulatory.py,tests/unit/test_design_space_schema.py::test_unmapped_strategy_is_never_eligible,qualified regulatory review (HA-31),exists,no
R114,design-space assignment Phase B item 12,"Product-architecture matching data layer: one feature record per longlist presentation from the frozen dossiers (shortage rows and age, application holders, 503B bulks status, CMS proxy, archetype flags, tier-5 config parameters), every feature carrying its snapshot id; human-only features stay None",design_space,src/telo_feasibility/product_architecture.py,matching rules and architecture families not yet defined,config/product_architecture_rules.yaml,tests/unit/test_product_architecture.py,sterilization route and contractability need a person,partial,yes: HA-12 HA-20
R115,protocol 6.1 ledger; Phase A MD-1,"Raw-material inventory carries the inventory carrying rate on its value (R003); frozen S0-S7 events unchanged, costs re-captured",economics,src/telo_feasibility/simulation.py step8_costs,component value split is an equal-thirds illustrative allocation,none,tests/regression/test_frozen_strategies.py,supplier quotes (HA-12) give component values,exists,no
R116,design-space assignment Phase E,Feasibility conditions: bisection along a named input between its recorded low and high for the crossing where a strategy stops meeting the service target; endpoints always reported so a non-monotone response is visible rather than hidden,design_space,design_space_analysis.threshold; scripts/run_design_space_analysis.py,monotonicity is assumed between the endpoints; only one input varies at a time,none,tests/integration/test_design_space_analysis.py::test_threshold_finds_a_capacity_crossing,input ranges are tier-5 low/high records,exists,no
R117,design-space assignment deliverable 12,Strategy dominance at a matched service target with an explicit cost tolerance for Monte Carlo noise; a strategy is dominated when a rival costs no more and serves at least as well on mean fill and tail probability,design_space,design_space_analysis.dominance,cost tolerance is set by the caller and is not derived from the MCSE automatically,none,tests/integration/test_design_space_analysis.py::test_dominance_marks_the_frontier,none,exists,no
R118,design-space assignment deliverable 12,"Decision-reversal maps over two or three named inputs for the full strategy set including S8+, reporting the cheapest feasible strategy per cell and None where none qualifies",design_space,design_space_analysis.reversal_map; scripts/build_design_space_figures.py,grid resolution is low (three levels per axis) so a reversal between grid points is not located,none,tests/integration/test_design_space_analysis.py::test_reversal_map_shape_and_preference,none,exists,no
R119,design-space assignment deliverable 11,"Feasibility-region, dominance, and reversal figures carrying the metadata figures.save_figure requires (title, units, product, scenario, manifest id, source note, decision caption)",reporting,scripts/build_design_space_figures.py; figures.config_heatmap,none,none,tests/unit/test_figures.py,none,exists,no
R120,design-space assignment Phase B family 10; protocol Eq. 6-7,"Contract economics: ContractTerms names the nine commercial questions (payer, purchaser, beneficiary, term, committed volume, activation condition, allocation rights, default risk, price required) and reports which are unanswered; contract_requirement derives resilience premium per unit, break-even price, committed volume, take-or-pay share of capacity and implied utilization from a simulated annual cost",economics,src/telo_feasibility/contracting.py,"no price evidence exists, so the default is the break-even price and that is reported as a note",none,tests/unit/test_contracting.py,price and willingness to pay need HA-11 and HA-24,partial,yes: HA-11 HA-24
R121,design-space assignment Phase D; protocol Eq. 1-5,"Deterministic screening for design-space strategies: capacity, capital, fixed and validation cost come from the built runtime topology instead of workbook multipliers, and the common-impact factor is the largest share of network capacity inside one common-cause group; the workbook replica refuses a declared topology so reconciliation stays exact",deterministic,deterministic.screen_inputs; deterministic.screen_row,"the screen heuristic for expected shortage days is still the workbook event model, which does not know about reserved capacity, commissioning, or portfolio shares; the simulation is authoritative",none,tests/integration/test_deterministic_design_space.py,none,exists,no
R122,design-space assignment Phase B family 10; HANDOFF weak spot,"Take-or-pay volume term on reserved capacity: take_or_pay_fraction charges that share of the reserved line annual variable cost whether or not it runs, closing the gap where reserved capacity had a fee but no volume commitment",economics,strategies.build_strategy; simulation.step8_costs,"the charge is a fraction of variable cost, not a negotiated price; a real contract needs HA-24",none,tests/integration/test_contract_and_os_levers.py::test_take_or_pay_defaults_off_and_charges_when_set,contract terms need HA-24,partial,yes: HA-24
R123,design-space assignment Phase B family 2,"Operating-system effect modeled as what it claims: deviation_rate_factor and investigation_duration_factor scale this strategy quality workflow only, leaving release time, capacity, and gates untouched; rates are clamped to [0,1]",quality,simulation._quality_params; strategies.build_strategy,the factors are illustrative with no evidence; a measured effect needs HA-22,none,tests/integration/test_contract_and_os_levers.py::test_quality_factors_reduce_deviations_and_investigation_time,deviation and closure evidence (HA-22),partial,yes: HA-22
R124,study package convention,"Methods documentation for the two new analysis modules (ablation; feasibility conditions, dominance, reversal, and contract arithmetic), describing the method and its limits separately from the findings",documentation,docs/methods/ablation.md; docs/methods/design_space_analysis.md,none,none,reviewed by the verification passes on the documents that cite them,none,exists,no
R125,design-space assignment Phase B family 10,"Contract conditions per product and strategy from a simulation run: fixed share of annual cost, break-even price per delivered unit, resilience premium against the reference strategy, and the minimum contracted utilization that covers fixed cost; no price is assumed",economics,scripts/build_contract_table.py; contracting.contract_requirement,"capacity is inferred from delivered units and fill rate rather than from the topology, so utilization is approximate",none,tests/unit/test_contracting.py,a real price needs HA-11 or HA-24,partial,yes: HA-11 HA-24
R126,protocol comparability rule FC4; MD-7,"Capacity above a site's day-zero scale is commissioned over capacity_expansion_days before it can run, so expanding an existing plant and building a new site are compared on the same terms; instant_expansion restores the previous behaviour for a sensitivity run",strategies,strategies.build_strategy; production.SiteRuntime.batches_per_year_on,capacity_expansion_days is tier 5 with no source; the baseline is the workbook's status-quo scale of 1.05,none,tests/integration/test_model_defect_fixes.py::test_md7_expansion_above_the_status_quo_scale_waits_to_be_commissioned,vendor and engineering expansion timelines (HA-13),partial,yes: HA-13
R127,protocol 6.1 ledger; MD-6,Fixed site operations accrue only while a site exists; capital and validation stay sunk from day zero; end-of-horizon backlog inside its backorder window is reported as open_backlog_units_at_horizon instead of counted lost,economics,simulation.step8_costs; simulation.result,"the split between sunk and operating cost is a modelling choice, stated in the revision",none,tests/integration/test_model_defect_fixes.py::test_md6_fixed_operations_do_not_accrue_before_a_site_exists,none,exists,no
R128,protocol 8.2 inventory; MD-4,"Opening stock is seeded as four cohorts whose remaining shelf life is spread from one replenishment cycle to full shelf life, so a larger opening position does not expire on the first measured day",inventory,simulation._seed_cohorts,the cohort count is an arbitrary modelling convention; the integer split preserves the mass balance,none,tests/integration/test_model_defect_fixes.py::test_md4_more_opening_stock_is_not_harmful,real age mix at a stocking point (HA-11),partial,yes: HA-11
R129,protocol 5.2 cost boundary; MD-14,"A reserved line Telo does not own carries no annualized capital, fixed operations, or validation, only its reservation fee and the variable and testing cost of batches it runs; reserved_site_owned models a standby line Telo builds",economics,strategies.build_strategy; simulation.step8_costs,the fee basis is still the notional annual cost of the line to its owner,none,tests/integration/test_model_defect_fixes.py::test_md14_a_reserved_line_telo_does_not_own_carries_no_capital,real reservation terms (HA-24),partial,yes: HA-24
R130,"MD-2, MD-9, MD-10, MD-13, MD-16",Material reorder point covers at least one batch draw; nodes may exceed the region count and are placed round-robin sharing the region geography group; the utilization denominator covers the sites the numerator counts and reserved capacity is reported separately; the Shapley bracket is undefined when an add-one-in arm is absent; p_meet carries its binomial standard error,simulation,suppliers.MaterialStore.place_orders; strategies node loop; ablation.network_capacity_units_per_year; ablation.attribution; ablation.summarize,none,none,tests/integration/test_model_defect_fixes.py,none,exists,no
R131,design-space assignment Phase D; S9 and S19,"Extra declared suppliers with a shared upstream tier: two nominally independent API sources (api_src_a, api_src_b) that both sit in one key-starting-material group together with both sites, so a shared key starting material is represented rather than assumed away (F9-S5)",design_space,schemas.SupplierSpec; strategies.build_strategy extra_suppliers branch; strategies.universal_roster_ids group append; strategies._group_kind,"CommonCauseGroup.kind has no key-starting-material value, so cc_ksm_api_1 resolves to api_supplier by substring; at the frozen hazard rate the matched-membership control still returns a null (MD-19 row)",none,tests/integration/test_design_space_engine.py::test_roster_appends_declared_entities_after_frozen_ones; tests/integration/test_extremes.py::test_independent_sites_help_and_perfectly_correlated_sites_do_not,real key-starting-material concentration for the chosen presentation (HA-31),exists,no
R132,design-space assignment Phase D; S10,"Multi-product tenancy accounting: portfolio_capacity_share and portfolio_fixed_cost_share attribute only a share of a host line's scheduling capacity and of its fixed, capital and validation cost to this product, with validation_multiplier able to restore one full product-specific validation per host",design_space,schemas.SitePlanSpec portfolio_capacity_share/portfolio_fixed_cost_share/validation_multiplier; strategies.build_strategy capacity_share and fixed_cost_share,"MD-15: the host's other products are not simulated, so cross-product demand correlation and a host event that removes several products at once are absent; the shares are an accounting proxy, and the split ratio is asserted rather than searched",none,tests/integration/test_design_space_engine.py::test_portfolio_shares_scale_capacity_and_fixed_cost,a real tenancy agreement and a real host product mix (HA-23),exists,no
R133,design-space assignment Phase D; S12,"A second declared container supplier (vial_2 in extra_suppliers with its own cc_vial_2 group) and a quality common-cause group spanning three unaffiliated partner sites, because one holder's quality unit dispositions all three and 21 CFR 211.22(a) makes that non-delegable (F3-S41, F3-S42, F3-S43)",design_space,schemas.SupplierSpec; strategies.build_strategy supplier and group construction; config/strategies/design_space.yaml S12,"MD-19: before R007 the supplier arm of a common-cause group was inert, so cc_vial_2 reached only the site arm; stopper_1 is still shared by every site and is now declared as cc_stopper_1 on the site side only, because the frozen builder gives the supplier no group",none,tests/integration/test_design_space_engine.py::test_roster_appends_declared_entities_after_frozen_ones; tests/integration/test_model_defect_fixes.py::test_md19_a_degraded_supplier_stretches_the_order_in_proportion,which container source each partner actually uses (HA-23),exists,no
R134,MD-19; revision R007,"A supplier's daily capacity is a fraction, not a switch: a supplier at capacity fraction f ships at most f of one full order per day, the same proportional time stretch a degraded production line already applies, so a common-cause group declared on a supplier can move an outcome",disruptions,suppliers.MaterialStore.receive; suppliers.PurchaseOrder.original_units; disruptions.effective_supplier_capacity,"at the frozen illustrative hazard rate (0.1 common-cause events per group-year) and the slack the illustrative networks carry, the measured effect is still zero; the defect was that no parameter value could have made it non-zero",none,tests/integration/test_model_defect_fixes.py::test_md19_a_degraded_supplier_stretches_the_order_in_proportion; ::test_md19_full_and_zero_capacity_are_unchanged; tests/regression/test_frozen_strategies.py,real supplier disruption depth and duration (HA-31),exists,no
R135,MD-20; revision R007,"The deterministic screen credits a reserved line its contracted duty cycle (exercise cadence as a fraction of its design batch rate) and charges its reservation fee and take-or-pay, so a contracted-capacity architecture does not screen byte-identical to the status quo; campaign activation is stochastic and excluded, so the capacity credit is a lower bound",deterministic,deterministic.screen_inputs runtime_topology arm; deterministic.ScreenInputs.reserved_contract_usd_per_year; deterministic.screen_row; cli.cmd_deterministic on load_all_strategies,"MD-22: common_impact_factor is still derived from topology for S8+ and read from a workbook multiplier for S0-S7, so no cross-arm common-impact comparison is valid",none,tests/integration/test_model_defect_fixes.py::test_md20_the_screen_credits_a_reserved_line_and_charges_its_contract; ::test_md20_a_reserved_line_with_no_exercise_cadence_is_credited_nothing; tests/regression/test_workbook_reconciliation.py,the real contracted duty cycle in a reservation agreement (HA-23),exists,no
R136,MD-21; revision R007,"A reservation fee and a take-or-pay commitment accrue only while the reserved site exists, in the same per-site loop R005 gave fixed site operations; capital and validation stay sunk from day zero",economics,simulation.step8_costs,none known; S3 is unaffected because its reserved line exists at t0,none,tests/integration/test_model_defect_fixes.py::test_md21_a_reservation_fee_does_not_accrue_before_the_line_exists,when a real reservation fee starts under contract (HA-23),exists,no
R137,design-space assignment; protocol comparability rule; model defect MD-17,"Commissioning clock starts at the first measured day, not at simulation day zero, and every run reports the capacity-weighted share of the measured window during which a durable site did not exist",comparability,simulation.SimSettings.commissioning_from_measurement_start; strategies.build_strategy commissioning_offset_days; simulation._commissioning_window_loss,the offset is a study convention rather than evidence; a real programme decides at a moment that has no counterpart in the model,none,tests/integration/test_model_defect_fixes.py::test_md17_commissioning_clock_starts_at_the_measured_window,"elapsed time from decision to first released batch (HA-21, HA-23)",exists,no
R138,design-space assignment Phase D; protocol fair-comparison rule; model defect MD-12,"Matched-search-space check: each named strategy optimized twice, over its declared design space and over one common inventory space (safety stock 30 to 365 days, daily base-stock review as a binary), so a comparison across strategies measures architecture rather than search freedom",optimization,scripts/run_matched_space_check.py; optimization.optimize_strategy space argument,"four strategies tested rather than twenty, at 40 final runs, so the tail probability carries a binomial standard error near 0.047; the symmetric test that narrows the design-space strategies to the comparators space has not been run",none,results/design_space/matched_20260905.json and the correction section of docs/design_space/feasibility_regions.md,none,exists,no
R139,design-space assignment Phase A; deliverable 11,"Ablation figures: leave-one-out and add-one-in attribution bars with their Shapley bracket, and a configuration heatmap over factors and strategies, each carrying the metadata figures.save_figure requires (title, units, product, scenario, manifest id, source note, decision caption)",reporting,scripts/build_ablation_figures.py; figures.attribution_bars; figures.config_heatmap,none,none,tests/unit/test_figures.py,results/ablation/<run>/ (illustrative inputs),exists,no
R140,design-space assignment Phase A; deliverable 3,"Bottleneck attribution and per-mode tables generated from one ablation run rather than typed, so every number in the decomposition document traces to results/ablation/<run>/{summary.json,attribution.csv}",design_space,scripts/build_bottleneck_tables.py; docs/design_space/bottleneck_tables.md,"the generator prints markdown to stdout and the document embeds it, so a re-run does not update the document automatically",none,verified by re-running the generator against the cited run and diffing the embedded tables,results/ablation/abl_20260902_phaseA and abl_post_R008 (illustrative inputs),exists,no
R141,protocol revision R007; design-space assignment Phase D,"Gate G16 (component and container-closure lot qualification for a declared second container source, plus the alternate API source's Type II drug master file letter of authorisation) declared for S9, S18 and S19 and carried as UNCERTAIN; the gate count moves from 15 to 16 and DF08 reports the new denominator",regulatory,config/regulatory_gates.yaml G16; protocol/revisions.csv R007,no reviewer has assigned a status; UNCERTAIN is never PASS and no strategy may receive a favourable decision class,none,tests/unit/test_regulatory.py; reporting.finished_status DF08 (reviewed 0/16),"qualified regulatory review (HA-31, HA-23)",partial,yes: HA-31 HA-23
R142,design-space assignment deliverables 1-7,"Design-space deliverable documents: architecture taxonomy with incompatibilities, morphological matrix, Phase A bottleneck decomposition with causal diagram, prior-art review by family, evidence-backed competitive landscape, novel-architecture generation with judge scores and rejections, and a falsification register with a status and result pointer on every claim row",documentation,"docs/design_space/{architecture_taxonomy.md,morphological_matrix.csv,bottleneck_decomposition.md,prior_art_review.md,competitive_landscape.md,novel_architectures.md,falsification_register.csv}; docs/design_space/prior_art/ family notes; docs/design_space/landscape/ category notes",24 of the 33 falsification rows are untested; 12 of those need human evidence and 9 need a control run the current battery does not contain,none,csv field-count validation on morphological_matrix.csv and falsification_register.csv; every cited source id resolves to a prior-art or landscape note,12 register rows need human evidence (HA-11 HA-13 HA-20 HA-21 HA-23 HA-24 HA-31 HA-33),partial,yes: HA-23 HA-31
R143,design-space assignment deliverables 13-17,"Family analyses: product-architecture matching over the frozen dossiers, OS-only and virtual-network analysis, multi-product portfolio analysis, inventory-capacity hybrid analysis, and feasibility regions stated as conditions with a fair-comparison correction",documentation,"docs/design_space/{product_architecture_matching.md,os_only_and_virtual_network.md,multi_product_portfolio.md,inventory_capacity_hybrids.md,feasibility_regions.md,release_assurance_followup.md}","four product features are absent for every candidate, one product per network (MD-15), take-or-pay has no service channel (MD-24), and the value-of-information run is superseded and covers S0-S7 only",none,every quantitative claim traces to results/design_space/ or results/ablation/ artifacts named in the document,HA-34 HA-35 HA-36 for the absent features; HA-11 HA-24 for price and volume,partial,yes: HA-34 HA-35 HA-36 HA-11 HA-24
R144,design-space assignment Phase F; deliverable 20,"Four evidence-grounded company roadmaps (microfactory-first, OS-first, virtual capacity network plus OS, strongest architecture discovered), each stating first product, first customer, first measurable value, data-access strategy, regulatory exposure, capital requirement, 6/12/24/60-month milestones, hiring, partnership dependencies, moat, channel conflict, failure conditions, and the evidence required before advancing",documentation,"docs/design_space/roadmaps/{01_microfactory_first.md,02_os_first.md,03_virtual_network_plus_os.md,04_strongest_discovered.md}","no roadmap can be costed on the revenue side; no price, rate card, reservation fee or minimum order value was found in 313 landscape sources, and the OS-first roadmap has no buyer-economics evidence at all",none,every milestone names an artifact or a human-action id that would evidence it,HA-13 HA-21 HA-24 HA-31 HA-34 HA-36 HA-37; recommendation withheld until they resolve,partial,yes: HA-13 HA-21 HA-24 HA-31 HA-34 HA-36 HA-37
R145,design-space assignment first-protection items 6-8; deliverables 18-19,"Corrected public-claims register with replacement wording for every affected public sentence, and a privacy and remediation plan for the exposed contact files stating what was inspected read-only, what was not done, and the founder decisions required",integrity,docs/design_space/public_claims_corrections.md; docs/design_space/privacy_remediation_plan.md; CLAIMS_REGISTER.csv extended to C025,"nothing has been published or changed on any public surface; 14 register rows remain unsupported, contradicted or retracted and DF22 fails on them; the exposure is live",none,reporting.finished_status DF22 lists the unresolved claim ids,founder decision and authorization (HA-04 HA-05 HA-06 HA-07 HA-08 HA-10 HA-19),partial,yes: HA-04 HA-05 HA-06 HA-07 HA-08
R146,design-space assignment deliverables 21-23,"Package status documents: requirements matrix covering every module, script and mechanism built; a definition-of-finished status pasting the status command output verbatim with what changed, what blocks each incomplete test and which human action closes it; and a human-action queue ordered by decision value with role, exact question, field or decision, acceptable evidence, model entry point, reversible result, fallback and rank on every row",documentation,docs/audits/04_requirements_matrix.csv; docs/design_space/definition_of_finished_status.md; docs/audits/07_human_action_queue.md,"the queue carries two id defects kept rather than renumbered: HA-10 names two different items, and config/sources.yaml line 129 calls the eCFR decision HA-15b while this file calls it HA-19c",none,csv field-count validation on the matrix; the ranked queue has 43 rows with unique ranks 1 to 43 and 9 columns each,none,exists,no
R147,protocol 13 definition of finished; docs/design_space/definition_of_finished_status.md section 4,"Definition-of-finished checks must measure what their titles claim: DF05 tests that the eight frozen strategies are represented, not that exactly eight distinct ids appear in the simulation manifests, and DF15 must glob backcast comparisons at results/backcasts/<run>/<episode>/comparison.json rather than one level shallower",reporting,reporting.finished_status DF05 and DF15,"DF05 reads incomplete because Phase D added S8-S19 and the criterion is len(strategies_seen) == 8; DF15 reads 0 comparisons while 6 files exist, and even with the glob fixed only 3 distinct episode classes exist against a requirement of 4",reporting.py,tests/unit/test_reporting.py (planned): frozen ids are a subset of the ids seen; the backcast glob finds the files that exist,the fourth backcast episode class needs a human-acquired source (HA-10 ASHP bulletins) and a demand denominator (HA-11),partial,yes: HA-10 HA-11
R148,design-space assignment; revisions R009 to R011,Opening inventory is purchased and charged once at the production unit value into a dedicated ledger field; the carrying half is already in inventory_logistics and is not charged twice,economics,economics.CostLedger.opening_inventory; simulation._seed_cohorts,"the acquisition price of opening stock is assumed equal to production cost; a purchased buffer would carry a supplier margin (HA-11, HA-24)",none,tests/integration/test_ranking_defect_fixes.py::test_new1_opening_inventory_is_charged_and_scales_with_the_stock_policy,"a purchased-finished-goods price (HA-11, HA-24)",partial,yes: HA-11 HA-24
R149,design-space assignment; revisions R009 to R011,"Matched inventory search space for every strategy, frozen and design-space alike, with the previous spaces kept ""as LEGACY_DESIGN_SPACES for reproducibility",optimization,optimization.MATCHED_INVENTORY_SPACE; optimization.DESIGN_SPACES,the common space adopts the design-space strategies declared freedom as the standard; the symmetric narrowing test has not been run,none,tests/integration/test_ranking_defect_fixes.py::test_md12_every_frozen_strategy_gets_the_matched_inventory_space,none,exists,no
R150,design-space assignment; revisions R009 to R011,"Infeasible tie-break ranks on fill only beyond a noise band derived from the screen size, then on cost, and records the band on the optimization record",optimization,optimization._fill_tolerance; optimization.optimize_strategy,the band is estimated from the spread of the evaluated designs with a floor of half a run; it is not a formal confidence statement,none,tests/integration/test_ranking_defect_fixes.py::test_md11_a_fill_gain_inside_the_noise_does_not_buy_a_cost_increase,none,exists,no
R151,design-space assignment; revisions R009 to R011,"Material policy separates pipeline cover from safety and cycle cover, and the opening component position is policy and lead-independent",suppliers,suppliers.MaterialStore.place_orders; simulation material seeding,"a residual remains: deferred orders land when a supplier resumes whatever the nominal lead, so a longer lead still carries a larger protective pipeline under a forced outage",none,tests/integration/test_ranking_defect_fixes.py::test_md1_opening_material_position_is_lead_independent,supplier lead times and order minimums (HA-12),partial,yes: HA-12
R152,design-space assignment; revisions R009 to R011,"Regional criticality weights and minimum guarantees are representable, so the four allocation policies can differ; the default keeps regions identical, under which three of them are one function",allocation,network.default_regions; strategies.build_strategy; simulation.step7_policies,"no evidence in this package says regions differ in criticality, so the spread defaults to zero and allocation rights stay unmeasured",none,tests/integration/test_ranking_defect_fixes.py::test_new2_policies_are_inert_when_regions_are_identical_and_differ_when_not,"regional criticality and guarantee evidence (HA-20, HA-33)",partial,yes: HA-20 HA-33
R153,design-space assignment; revisions R009 to R011,"Readiness is time since the last qualified batch, so any batch restarts the exercise clock, and a take-or-pay commitment buys priority access in a region sourcing order",production,production.SiteRuntime.start_batch; strategies.build_strategy source order,priority access is the only service channel given to a commitment; it does not model a contractual right to refuse another buyer,none,tests/integration/test_ranking_defect_fixes.py::test_md23_any_batch_restarts_the_readiness_clock,"contract terms (HA-24, HA-38)",partial,yes: HA-24 HA-38
R154,"route screen, HA-34 (docs/route_screen/)","ProductFeatures.sterilization_route is set per presentation-holder pair, never per molecule, and a parametric-release ReleaseScenario is constructible only where the route is terminal moist heat AND a parametric approval exists",product,ProductFeatures in product_architecture.py carries the attribute; no config sets it,"No longlist presentation reached a confidence that licenses setting it. The one in-archetype determination (furosemide ANDA 202747) stands at weakly_inferred with a contradiction recorded, and the two modelled product configs are unknown at any confidence",product_architecture; release scenarios,"a test asserting the attribute stays unset for every current product config, and that constructing a parametric-release ReleaseScenario without it raises","HA-34: an ANDA or NDA chemistry review sterility-assurance section, an EIR naming the cycle, or a named reviewer with date and basis",blocked on evidence; no model parameter changes,yes (HA-34)
R155,"route screen, HA-34 (docs/route_screen/)","bud_503b_days is a lookup on route by sterility-test completion by storage condition, not a scalar, and the lookup is labelled as resting on revised draft guidance that is nonbinding and applies only inside the time-varying 503B state",regulatory,bud_503b_days is a scalar in config,"The route dimension has no value to key on, because no longlist route is determined. The source table is 503B Appendix B Table D, which is draft guidance stamped ""Draft - Not for Implementation""",config; 503B scenario layer,"a test asserting the lookup refuses to resolve when route is unset, and that the draft-status label travels with any output using it",HA-34 for route; a final version of the 503B guidance for the table itself,blocked on evidence; not implemented,yes (HA-34)
